aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
dss_fedavg,persistent_sybil,13,9,1,3,0.2,1.0,3001,8.428389,0.099308826
dss_fedavg,persistent_sybil,14,9,1,3,0.2,1.0,3001,8.451771,0.099584326
dss_fedavg,persistent_sybil,15,9,1,3,0.2,1.0,3001,8.410996,0.0991039
dss_fedavg,persistent_sybil,16,9,1,3,0.2,1.0,3001,8.53945,0.100617416
dss_fedavg,persistent_sybil,17,9,1,3,0.2,1.0,3001,8.739813,0.10297823
dss_fedavg,persistent_sybil,18,9,1,3,0.2,1.0,3001,8.478769,0.09990244
dss_fedavg,persistent_sybil,19,9,1,3,0.2,1.0,3001,8.61232,0.10147602
dss_fedavg,persistent_sybil,0,9,1,3,0.2,1.0,4001,8.439473,0.09943943
dss_fedavg,persistent_sybil,1,9,1,3,0.2,1.0,4001,8.502554,0.10018269
dss_fedavg,persistent_sybil,2,9,1,3,0.2,1.0,4001,8.471152,0.099812694
dss_fedavg,persistent_sybil,3,9,1,3,0.2,1.0,4001,8.497339,0.100121245
dss_fedavg,persistent_sybil,4,9,1,3,0.2,1.0,4001,8.520823,0.10039794
dss_fedavg,persistent_sybil,5,9,1,3,0.2,1.0,4001,8.595149,0.10127371
dss_fedavg,persistent_sybil,6,9,1,3,0.2,1.0,4001,8.47863,0.099900804
dss_fedavg,persistent_sybil,7,9,1,3,0.2,1.0,4001,8.540979,0.10063544
dss_fedavg,persistent_sybil,8,9,1,3,0.2,1.0,4001,8.558237,0.10083878
dss_fedavg,persistent_sybil,9,9,1,3,0.2,1.0,4001,8.529873,0.10050458
dss_fedavg,persistent_sybil,10,9,1,3,0.2,1.0,4001,8.46923,0.09979004
dss_fedavg,persistent_sybil,11,9,1,3,0.2,1.0,4001,8.461453,0.09969842
dss_fedavg,persistent_sybil,12,9,1,3,0.2,1.0,4001,8.551932,0.1007645
dss_fedavg,persistent_sybil,13,9,1,3,0.2,1.0,4001,8.614765,0.10150483
dss_fedavg,persistent_sybil,14,9,1,3,0.2,1.0,4001,8.440022,0.0994459
dss_fedavg,persistent_sybil,15,9,1,3,0.2,1.0,4001,8.428215,0.09930678
dss_fedavg,persistent_sybil,16,9,1,3,0.2,1.0,4001,8.400697,0.09898254
dss_fedavg,persistent_sybil,17,9,1,3,0.2,1.0,4001,8.4311075,0.099340856
dss_fedavg,persistent_sybil,18,9,1,3,0.2,1.0,4001,8.550945,0.10075287
dss_fedavg,persistent_sybil,19,9,1,3,0.2,1.0,4001,8.484703,0.09997236
krum,persistent_sybil,0,9,1,3,0.2,1.0,1,0.29861993,0.0035185365
krum,persistent_sybil,1,9,1,3,0.2,1.0,1,0.3879176,0.0045707007
krum,persistent_sybil,2,9,1,3,0.2,1.0,1,0.22852731,0.0026926592
krum,persistent_sybil,3,9,1,3,0.2,1.0,1,0.4022157,0.00473917
krum,persistent_sybil,4,9,1,3,0.2,1.0,1,0.46331763,0.0054591135
krum,persistent_sybil,5,9,1,3,0.2,1.0,1,0.37281993,0.0043928097
